iter	Passed	Remaining
0	131	131813
1	132	66139
2	133	44246
3	133	33291
4	134	26731
5	134	22359
6	135	19227
7	136	16875
8	136	15047
9	137	13584
10	137	12385
11	138	11386
12	138	10542
13	139	9831
14	140	9204
15	140	8655
16	141	8171
17	141	7740
18	142	7354
19	143	7007
20	143	6693
21	144	6406
22	144	6148
23	145	5906
24	145	5682
25	146	5476
26	146	5284
27	147	5106
28	147	4941
29	148	4786
30	148	4642
31	148	4506
32	149	4382
33	150	4268
34	150	4155
35	151	4048
36	151	3947
37	152	3851
38	152	3761
39	153	3674
40	153	3592
41	154	3514
42	154	3441
43	155	3372
44	155	3305
45	156	3239
46	156	3177
47	157	3118
48	157	3061
49	158	3006
50	158	2954
51	159	2904
52	159	2856
53	160	2812
54	161	2767
55	161	2723
56	162	2680
57	162	2639
58	163	2600
59	163	2561
60	163	2524
61	164	2488
62	164	2453
63	165	2420
64	166	2389
65	166	2357
66	167	2326
67	167	2296
68	168	2267
69	168	2239
70	169	2211
71	169	2184
72	169	2158
73	170	2132
74	171	2114
75	172	2091
76	172	2068
77	173	2045
78	173	2022
79	173	2000
80	174	1979
81	174	1958
82	175	1935
83	175	1915
84	176	1898
85	176	1880
86	177	1862
87	177	1843
88	178	1826
89	178	1808
90	179	1791
91	179	1775
92	180	1758
93	180	1743
94	181	1727
95	181	1713
96	182	1698
97	183	1684
98	183	1669
99	183	1655
100	184	1641
101	184	1628
102	185	1615
103	186	1602
104	186	1590
105	187	1579
106	187	1567
107	188	1554
108	188	1543
109	189	1531
110	189	1519
111	190	1508
112	190	1497
113	191	1486
114	191	1475
115	192	1464
116	192	1454
117	193	1444
118	193	1433
119	194	1424
120	194	1414
121	195	1403
122	195	1394
123	196	1384
124	196	1375
125	197	1366
126	197	1357
127	198	1349
128	198	1341
129	199	1332
130	199	1324
131	200	1315
132	200	1307
133	201	1299
134	201	1291
135	202	1283
136	202	1275
137	203	1268
138	203	1261
139	204	1254
140	204	1246
141	204	1238
142	205	1231
143	205	1224
144	206	1217
145	206	1210
146	207	1203
147	207	1196
148	208	1190
149	209	1184
150	209	1178
151	210	1171
152	210	1165
153	210	1159
154	211	1152
155	211	1146
156	212	1140
157	212	1134
158	213	1128
159	213	1122
160	214	1116
161	214	1111
162	215	1106
163	215	1100
164	216	1095
165	216	1089
166	217	1084
167	217	1078
168	218	1073
169	218	1068
170	219	1063
171	219	1058
172	220	1054
173	221	1049
174	221	1044
175	221	1039
176	222	1035
177	223	1030
178	223	1026
179	224	1021
180	224	1016
181	225	1012
182	225	1008
183	226	1003
184	226	998
185	227	994
